// File: 3.txt
// Data file for SeaPort projects
// Date: Sun Apr 23 10:09:56 EDT 2017
// parameters: 5 5 5 5 5 5
//   ports, docks, pships, cships, jobs, persons

// port   name index parent(null)
//    port   <string> <int> <int>
port Shaoxing 10001 0
port Xin_Sha 10002 0
port Cadiz 10000 0
port Hangzhou 10003 0
port Vitebsk 10004 0

// dock   name index parent(port)
//    dock   <string> <int> <int>
  dock Pier_0 20000 10000 30000
  dock Pier_21 20021 10004 30021
  dock Pier_22 20022 10004 30022
  dock Pier_20 20020 10004 30020
  dock Pier_1 20001 10000 30001
  dock Pier_24 20024 10004 30024
  dock Pier_8 20008 10001 30008
  dock Pier_3 20003 10000 30003
  dock Pier_13 20013 10002 30013
  dock Pier_17 20017 10003 30017
  dock Pier_5 20005 10001 30005
  dock Pier_11 20011 10002 30011
  dock Pier_2 20002 10000 30002
  dock Pier_23 20023 10004 30023
  dock Pier_18 20018 10003 30018
  dock Pier_4 20004 10000 30004
  dock Pier_15 20015 10003 30015
  dock Pier_6 20006 10001 30006
  dock Pier_12 20012 10002 30012
  dock Pier_14 20014 10002 30014
  dock Pier_19 20019 10003 30019
  dock Pier_7 20007 10001 30007
  dock Pier_10 20010 10002 30010
  dock Pier_16 20016 10003 30016
  dock Pier_9 20009 10001 30009

// pship  name index parent(dock/port) weight length width draft numPassengers numRooms numOccupied
//    pship  <string> <int> <int> <double> <double> <double> <double> <int> <int> <int>
    job         Job_34_44_95 60216 30023 66.46 mechanic cleaner
    job         Job_12_97_47 60190 40018 58.76 craneOperator janitor
    job         Job_25_28_88 60110 30012 117.86 mechanic crew
    job         Job_12_67_23 60111 30012 118.15 craneOperator
    job         Job_32_88_57 60225 40020 83.63 janitor driver
    job         Job_28_54_51 60121 30014 66.99 janitor inspector mate cleaner
    job         Job_47_91_43 60112 30012 112.11 cleaner
    job         Job_92_47_69 60038 40002 32.44
    job         Job_35_29_31 60147 40014 117.47 inspector captain electrician
    job         Job_14_72_67 60229 40020 51.66 cleaner carpenter
    job         Job_78_81_26 60120 30014 71.60 mate engineer
    job         Job_54_31_78 60104 30010 25.94 cleaner janitor
    job         Job_56_18_15 60127 40010 50.11 crew
    job         Job_29_64_44 60204 30020 99.63
    job         Job_16_38_54 60090 40008 44.62 craneOperator carpenter
    job         Job_46_29_19 60235 40022 66.00 painter janitor
    job         Job_85_19_99 60084 40006 118.29 driver
    job         Job_23_52_84 60105 30011 105.30 cleaner stevedore
    job         Job_33_17_28 60239 40022 84.47 carpenter crew
    job         Job_37_62_96 60101 30010 81.58 captain
    job         Job_23_54_73 60077 40005 77.25 mate
    job         Job_60_95_36 60162 30017 83.08 engineer clerk janitor clerk
    job         Job_11_50_94 60008 30001 109.53
    job         Job_49_72_74 60027 40000 55.76 engineer mechanic
    job         Job_30_64_30 60205 30021 23.15 captain clerk
    job         Job_95_23_96 60032 40001 53.15 captain stevedore
    job         Job_85_82_85 60183 40016 60.06 janitor electrician
    job         Job_45_93_14 60195 40019 26.92
    job         Job_26_23_53 60029 40000 53.67
    job         Job_98_54_58 60059 30006 78.54 stevedore mechanic
    job         Job_80_79_89 60042 40003 43.87 janitor craneOperator painter carpenter
    job         Job_93_16_65 60244 40023 52.43 painter captain painter
    job         Job_79_59_19 60061 30007 115.11 cleaner stevedore
    job         Job_24_66_42 60064 30007 44.00
    job         Job_40_44_56 60144 40013 86.67 captain
    job         Job_80_88_75 60231 40021 61.88 painter
    job         Job_35_77_78 60109 30011 112.74
    job         Job_93_74_31 60035 40002 70.11 electrician
    job         Job_76_58_79 60226 40020 82.19 captain
    job         Job_81_71_42 60237 40022 86.39
    job         Job_85_61_57 60152 30015 24.07 painter
    job         Job_16_40_85 60009 30001 62.66 captain mate
    job         Job_96_33_63 60199 40019 55.60
    job         Job_38_70_84 60176 40015 113.75 janitor
    job         Job_70_10_20 60096 40009 75.96 inspector
    job         Job_69_17_14 60072 30009 53.59 driver
    job         Job_48_79_22 60047 40004 45.97 inspector electrician
    job         Job_16_45_91 60242 40023 82.91 craneOperator
    job         Job_71_52_34 60228 40020 80.37 craneOperator captain crew
    job         Job_80_96_50 60197 40019 102.20 cleaner craneOperator
    job         Job_81_76_27 60150 30015 33.64 mechanic
    job         Job_83_46_29 60049 40004 106.16 janitor janitor driver
    job         Job_47_75_14 60139 40012 90.68 inspector clerk engineer engineer
    job         Job_40_97_80 60054 30005 114.85
    job         Job_99_72_90 60169 30018 101.88 craneOperator
    job         Job_12_84_70 60196 40019 96.98
    job         Job_36_28_25 60069 30008 32.04 janitor clerk painter
    job         Job_96_87_15 60116 30013 54.67
    job         Job_88_84_35 60186 40017 32.92
    job         Job_74_41_30 60013 30002 77.59 crew carpenter electrician
    job         Job_20_89_74 60215 30023 62.75 janitor captain
    job         Job_28_44_95 60017 30003 93.11 carpenter
    job         Job_88_67_21 60005 30001 98.93 electrician carpenter
    job         Job_24_22_46 60158 30016 95.20
    job         Job_28_52_73 60022 30004 64.75 clerk
    job         Job_91_49_12 60234 40021 33.42 carpenter
    job         Job_25_49_38 60079 40005 50.10 clerk
    job         Job_75_82_49 60189 40017 25.61 inspector mate
    job         Job_45_98_95 60012 30002 42.98 carpenter
    job         Job_83_26_89 60067 30008 38.96 mate painter
    job         Job_83_64_19 60151 30015 80.78 janitor
    job         Job_54_40_18 60236 40022 81.40 driver crew painter
    job         Job_95_48_39 60070 30009 83.30
    job         Job_49_79_50 60232 40021 56.20 inspector carpenter
    job         Job_30_43_19 60041 40003 99.31 mechanic captain
    job         Job_15_30_65 60106 30011 65.36
    job         Job_87_92_66 60163 30017 39.65 electrician clerk
    job         Job_57_60_34 60146 40014 74.12 craneOperator
    job         Job_65_35_38 60248 40024 97.25
    job         Job_89_13_19 60220 30024 66.50 mechanic clerk
    job         Job_42_56_57 60114 30012 96.56 carpenter electrician
    job         Job_76_62_53 60001 30000 86.13 mechanic stevedore driver
    job         Job_45_27_80 60212 30022 107.63 mate electrician
    job         Job_90_61_36 60227 40020 22.20 clerk mechanic
    job         Job_97_25_75 60006 30001 68.92 captain
    job         Job_48_74_94 60052 30005 102.77 mate
    job         Job_16_76_32 60219 30023 35.79 janitor carpenter carpenter
    job         Job_50_99_63 60246 40024 115.78
    job         Job_65_70_99 60108 30011 72.88 captain clerk
    job         Job_43_93_63 60025 40000 113.70 mechanic
    job         Job_33_93_58 60011 30002 60.93 janitor cleaner
    job         Job_84_88_72 60138 40012 118.35 carpenter electrician
    job         Job_41_59_74 60074 30009 54.10 captain cleaner painter
    job         Job_93_21_51 60213 30022 59.99
    job         Job_95_65_50 60007 30001 57.22
    job         Job_87_34_20 60240 40023 63.28 electrician crew driver
    job         Job_49_38_45 60172 30019 88.22 driver
    job         Job_34_24_58 60030 40001 49.66 carpenter craneOperator
    job         Job_49_84_21 60201 30020 87.08 driver crew craneOperator crew
    job         Job_10_26_23 60230 40021 86.07
    job         Job_89_19_82 60198 40019 65.66 driver mechanic painter
    job         Job_98_38_18 60046 40004 66.40
    job         Job_85_45_56 60241 40023 47.94 crew cleaner mate
    job         Job_97_13_42 60185 40017 112.22 janitor electrician
    job         Job_40_47_89 60076 40005 118.03
    job         Job_85_91_83 60031 40001 43.02 janitor cleaner
    job         Job_17_72_90 60200 30020 28.85
    job         Job_56_42_57 60221 30024 79.09 clerk
    job         Job_55_25_85 60174 30019 39.13 craneOperator driver
    job         Job_89_99_46 60211 30022 60.16 inspector
    job         Job_91_89_78 60018 30003 110.14 engineer engineer clerk
    job         Job_16_13_79 60142 40013 66.34 painter carpenter
    job         Job_96_78_32 60058 30006 68.87 cleaner
    job         Job_63_64_59 60082 40006 118.97 painter clerk
    job         Job_18_70_10 60068 30008 63.74 driver
    job         Job_36_71_51 60155 30016 36.83 craneOperator captain
    job         Job_73_45_16 60083 40006 98.30 captain driver
    job         Job_88_34_44 60020 30004 29.16 mate
    job         Job_47_58_86 60148 40014 87.85
    job         Job_70_60_47 60000 30000 31.53
    job         Job_21_42_93 60091 40008 38.45 mate driver
    job         Job_55_86_52 60056 30006 27.68 electrician inspector
    job         Job_47_15_86 60133 40011 92.23 painter inspector clerk
    job         Job_92_88_55 60057 30006 74.07 janitor inspector carpenter
    job         Job_39_66_55 60053 30005 39.79 driver inspector
    job         Job_49_11_55 60224 30024 115.59 captain engineer
    job         Job_51_56_44 60165 30018 104.26 janitor engineer
    job         Job_10_12_44 60085 40007 90.41 cleaner
    job         Job_73_48_16 60113 30012 73.97 janitor cleaner carpenter
    job         Job_77_13_61 60179 40015 77.58
    job         Job_66_67_58 60203 30020 95.32 crew
    job         Job_47_18_82 60023 30004 96.34 painter
    job         Job_97_90_63 60159 30016 92.78 mate clerk janitor
    job         Job_65_58_66 60051 30005 37.46 janitor clerk carpenter
    job         Job_43_86_93 60081 40006 58.23 inspector craneOperator
    job         Job_10_30_20 60131 40011 50.36 electrician
    job         Job_51_67_33 60243 40023 51.83
    job         Job_28_13_74 60028 40000 39.37 engineer
    job         Job_84_20_78 60143 40013 46.10 crew
    job         Job_37_60_61 60249 40024 46.51 inspector
    job         Job_55_30_81 60014 30002 62.49 carpenter mate
    job         Job_19_69_58 60004 30000 61.54 carpenter
    job         Job_12_33_27 60119 30013 85.96 clerk
    job         Job_16_60_11 60123 30014 87.62 carpenter stevedore
    job         Job_24_64_38 60026 40000 27.70 painter inspector
    job         Job_31_75_31 60233 40021 85.38 cleaner
    job         Job_13_80_10 60153 30015 59.08 captain
    job         Job_23_20_63 60149 40014 76.09 engineer
    job         Job_95_47_21 60209 30021 88.10 inspector engineer
    job         Job_89_35_68 60071 30009 97.63 cleaner cleaner
    job         Job_64_67_84 60124 30014 87.81 cleaner janitor clerk clerk
    job         Job_14_73_83 60238 40022 39.86 captain
    job         Job_22_48_86 60097 40009 34.89
    job         Job_99_63_39 60118 30013 89.67 mechanic driver
    job         Job_71_96_99 60134 40011 35.43 janitor cleaner
    job         Job_48_91_55 60141 40013 102.60 mechanic painter
    job         Job_75_70_80 60180 40016 102.48 painter stevedore
    job         Job_38_84_12 60094 40008 34.89 engineer engineer
    job         Job_64_23_26 60088 40007 69.46 captain painter
    job         Job_17_28_69 60157 30016 91.54
    job         Job_84_73_57 60168 30018 42.64 clerk
    job         Job_12_78_29 60122 30014 47.97 stevedore driver
    job         Job_75_56_83 60181 40016 30.97 stevedore cleaner
    job         Job_55_19_42 60045 40004 21.69 mate mechanic
    job         Job_96_99_57 60037 40002 75.79 stevedore
    job         Job_69_89_38 60060 30007 64.50 crew electrician
    job         Job_59_29_92 60015 30003 59.93
    job         Job_90_50_20 60103 30010 104.00
    job         Job_97_99_65 60192 40018 80.14 cleaner mechanic engineer
    job         Job_99_49_75 60171 30019 49.73 driver carpenter
    job         Job_59_56_91 60245 40024 78.71 driver crew cleaner
    job         Job_62_60_49 60043 40003 101.09 mate
    job         Job_26_57_48 60107 30011 26.17 stevedore
    job         Job_25_94_75 60214 30022 55.05 carpenter janitor mechanic
    job         Job_44_85_51 60208 30021 67.81 stevedore janitor
    job         Job_41_64_86 60092 40008 37.92 stevedore electrician stevedore
    job         Job_52_56_12 60160 30017 28.29 mate stevedore
    job         Job_55_97_29 60048 40004 52.28 cleaner inspector carpenter
    job         Job_61_62_36 60087 40007 53.38 engineer engineer
    job         Job_26_78_60 60075 40005 66.24 mate
    job         Job_74_45_54 60173 30019 119.85 mechanic
    job         Job_93_10_45 60178 40015 35.71 stevedore craneOperator
    job         Job_75_55_19 60099 40009 46.77 engineer cleaner
    job         Job_61_82_29 60145 40014 68.94 captain clerk cleaner
    job         Job_50_81_64 60164 30017 72.38
    job         Job_21_49_78 60115 30013 119.07 electrician janitor
    job         Job_21_10_60 60044 40003 115.38 cleaner
    job         Job_55_67_76 60073 30009 119.85 painter carpenter
    job         Job_82_78_93 60078 40005 105.27 electrician electrician
    job         Job_99_50_44 60247 40024 64.55 electrician
    job         Job_69_12_41 60218 30023 85.97 engineer
    job         Job_67_30_37 60050 30005 68.41 driver
    job         Job_62_41_20 60184 40016 77.65 cleaner driver
    job         Job_38_59_50 60182 40016 23.63 mate mechanic stevedore
    job         Job_51_31_52 60154 30015 66.95 crew janitor
    job         Job_47_67_54 60170 30019 90.43
    job         Job_96_10_53 60063 30007 117.94 janitor
    job         Job_44_22_27 60033 40001 97.26 electrician
    job         Job_46_20_54 60062 30007 112.19 carpenter
    job         Job_92_65_44 60217 30023 102.30 driver
    job         Job_64_20_24 60194 40018 60.23 cleaner painter clerk
    job         Job_83_79_94 60207 30021 30.14 clerk
    job         Job_87_99_42 60129 40010 92.86 painter crew
    job         Job_50_97_85 60055 30006 109.03 craneOperator
    job         Job_50_46_42 60080 40006 118.94 craneOperator crew
    job         Job_60_34_95 60002 30000 102.61 painter stevedore stevedore stevedore
    job         Job_38_83_85 60130 40011 47.78
    job         Job_29_32_23 60021 30004 99.95 cleaner
    job         Job_45_36_72 60222 30024 108.85 painter clerk
    job         Job_84_64_60 60210 30022 104.90 clerk carpenter
    job         Job_17_13_69 60100 30010 113.14 stevedore driver
    job         Job_11_86_79 60093 40008 89.33 janitor carpenter
    job         Job_23_26_55 60019 30003 31.22 engineer crew
    job         Job_12_42_18 60188 40017 28.16
    job         Job_49_54_16 60039 40002 31.38 engineer
    job         Job_34_69_49 60166 30018 112.38 stevedore
    job         Job_84_59_55 60128 40010 39.61 painter
    job         Job_14_50_62 60117 30013 24.66 janitor carpenter
    job         Job_72_82_85 60102 30010 117.68 mate stevedore
    job         Job_66_73_89 60095 40009 24.41 carpenter
    job         Job_64_57_29 60193 40018 70.18
    job         Job_81_31_32 60089 40007 32.53 electrician mate engineer
    job         Job_60_53_41 60136 40012 65.64
    job         Job_18_89_61 60132 40011 92.68 electrician painter inspector
    job         Job_86_40_27 60156 30016 110.18
    job         Job_40_21_72 60202 30020 68.69 inspector janitor
    job         Job_43_72_50 60016 30003 81.09
    job         Job_95_63_40 60140 40013 69.64
    job         Job_23_14_44 60086 40007 46.06 inspector janitor stevedore
    job         Job_20_72_78 60177 40015 54.04 janitor craneOperator carpenter
    job         Job_53_98_24 60223 30024 37.89 mechanic cleaner captain
    job         Job_96_45_94 60175 40015 32.34 engineer
    job         Job_73_14_78 60066 30008 60.54
    job         Job_84_44_85 60034 40001 90.15 carpenter inspector
    job         Job_54_12_74 60024 30004 114.52 engineer clerk
    job         Job_88_85_10 60161 30017 87.91 carpenter
    job         Job_20_33_53 60167 30018 25.34 engineer carpenter
    job         Job_42_43_34 60137 40012 79.41 mechanic
    job         Job_76_63_23 60098 40009 28.16 stevedore
    job         Job_92_58_42 60065 30008 114.84 inspector engineer
    job         Job_33_91_56 60191 40018 107.56 craneOperator craneOperator
    job         Job_95_11_98 60126 40010 30.83 engineer
    job         Job_48_69_85 60010 30002 85.01 mate
    job         Job_17_54_75 60125 40010 68.67 carpenter clerk
    job         Job_15_19_84 60187 40017 107.34 cleaner cleaner
